Natural Gas Total Consumption,Plant Fuel Consumption,Pipeline & Distribution Use,Residential Consumers,Commercial Consumers,Industrial Consumer,Vehicle Fuel Consumption,Electric Power Consumers
2052728,134098,50694,102855,135279,599867,3345,1026590
1901337,130591,46786,108491,138126,579061,3238,895044
1987311,133961,48969,201540,194961,612994,3345,791541
2249141,129096,56016,406610,283231,638537,3238,732413
2588166,133407,64859,590911,352506,674532,3345,768606
3091695,132516,78465,878936,503093,721171,3560,773954
2652260,125722,66993,690077,413548,662790,3330,689800
2356298,132875,58956,455001,298447,662694,3560,744765
2083848,128499,51848,328059,233059,620045,3445,718893
1965799,131270,48644,193922,171297,612675,3560,804431
2000656,125818,49713,122640,138340,590392,3445,970308
2186617,131076,54504,106420,134609,616480,3560,1139968
2208374,130037,55109,100455,140436,627541,3560,1151236
1947752,125008,48332,109782,142031,603868,3445,915286
1925204,128669,47637,187385,191437,622720,3560,743796
2159444,125558,53930,379746,280600,654119,3445,662046
2866274,128282,72600,794164,462687,734194,3560,670787
2913823,126894,78712,830917,479371,734212,4094,659623
2340217,116217,62816,579458,359436,649811,3698,568781
2523331,131579,67554,579941,371668,696319,4094,672176
1932042,127491,50973,278972,211971,631624,3962,627049
1892009,131738,49723,199486,178502,628407,4094,700059
1910442,128725,50330,124057,138039,614294,3962,851035
2141596,134387,56698,107443,133651,623497,4094,1081826
2093772,134312,55349,103835,137228,636935,4094,1022019
1920467,132252,50513,114508,144828,615144,3962,859260
2031510,139089,53456,205087,200683,656558,4094,772543
2357258,138792,62661,467729,322432,695526,3962,666156
3086015,144427,83080,821890,486806,760689,4094,785029
3340936,134390,98811,981276,553970,782206,4282,786001
2710719,123921,79713,689887,424203,699106,3867,690022
2796710,138799,81905,659389,417944,737863,4282,756528
2350482,134093,68299,440848,301841,697338,4144,703919
2055019,140156,59007,169019,163748,670722,4282,848085
2063144,136321,59376,119244,142401,649104,4144,952554
2350718,143671,68011,105918,137574,667748,4282,1223514
2313837,146569,66785,99781,142976,667914,4282,1185530
2156061,144167,61997,112317,146602,657035,4144,1029799
2285854,150862,65791,255318,237370,684417,4282,887814
2715942,148545,79115,598977,386256,735954,4144,762951
2999510,152744,87724,765580,459067,767892,4282,762221
3424301,148790,113780,953787,554325,800585,4515,848519
3019119,135307,100173,809132,472246,718873,4078,779310
2927811,150489,96474,688517,424232,750058,4515,813526
2212386,146340,71767,328581,246547,675101,4370,739680
2133985,152372,68834,212408,184887,674882,4515,836087
2119340,147863,68482,129214,144653,634196,4370,990562
2393903,153635,77819,111761,141950,649556,4515,1254667
2433923,157370,79079,101894,140788,672373,4515,1277904
2206253,152877,71327,109841,143158,643905,4370,1080775
2306545,159359,74586,231696,216141,683580,4515,936668
2783755,156747,91253,589075,388823,734619,4370,818868
3170717,161790,104519,752613,456817,778934,4515,911529
3299776,159233,110329,824836,490676,779219,4161,931322
3041481,148786,101622,737107,447569,723736,3893,878768
2707481,159336,89518,526809,339081,709668,4161,878908
2240544,150144,73437,378049,238102,632860,4027,763925
2067047,145916,67491,236578,162665,616282,4161,833954
2130675,143222,69820,136117,131787,600130,4027,1045572
2489307,150617,82160,118132,129086,633048,4161,1372103
2401322,150131,79086,108819,131179,648179,4161,1279767
2171842,145444,71189,126524,143703,643206,4027,1037749
2320027,149146,76264,241924,208850,685673,4161,954009
2434878,148782,80312,439827,293558,701137,4027,767235
3167833,153975,105879,799589,453966,777587,4161,872676
3292364,155054,108813,877200,491601,782845,4515,872336
3041816,128935,100532,865559,491675,664078,4078,786959
2615635,154128,86447,567821,354786,695958,4515,751980
2238455,151338,73981,338584,244447,669958,4369,755778
2093778,156044,69199,215483,181089,651364,4515,816084
2214930,151351,73203,128042,141769,631298,4369,1084898
2387996,157076,78923,111618,141392,659304,4515,1235168
2410935,158170,79681,105490,140482,662088,4515,1260509
2110187,152042,69742,116065,149137,623648,4369,995184
2237716,160501,73956,190946,194513,669637,4515,943648
2659971,157595,87912,473044,333673,721251,4369,882127
2979654,162827,98478,663652,399159,765140,4515,885883
3583251,158730,118426,960618,552753,809183,4515,979026
3039855,142398,100467,796119,465654,715354,4078,815785
2764288,159972,91360,591629,387355,745957,4515,783500
