,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
688,2015-04-16,3.0361211793039184,2.216168186678959,3.2848045762741926,3.0361211793039184,3.0361211793039184,-0.2594916224956591,-0.2594916224956591,-0.2594916224956591,0.01115428335999727,0.01115428335999727,0.01115428335999727,-0.2706459058556564,-0.2706459058556564,-0.2706459058556564,0.0,0.0,0.0,2.7766295568082593
689,2015-04-17,3.0289520901288025,2.2846945949146686,3.3122292687446713,3.0289520901288025,3.0289520901288025,-0.25354756621889857,-0.25354756621889857,-0.25354756621889857,0.0019939298715402295,0.0019939298715402295,0.0019939298715402295,-0.25554149609043875,-0.25554149609043875,-0.25554149609043875,0.0,0.0,0.0,2.775404523909904
690,2015-04-20,3.007444822603452,2.2747054271783287,3.3510091162319258,3.007444822603452,3.007444822603452,-0.20923509106951552,-0.20923509106951552,-0.20923509106951552,0.001836027001261792,0.001836027001261792,0.001836027001261792,-0.21107111807077733,-0.21107111807077733,-0.21107111807077733,0.0,0.0,0.0,2.7982097315339365
691,2015-04-21,3.000275733428336,2.2394420189433637,3.3136659034025504,3.000275733428336,3.000275733428336,-0.1893731042004594,-0.1893731042004594,-0.1893731042004594,0.007201358599854116,0.007201358599854116,0.007201358599854116,-0.19657446280031354,-0.19657446280031354,-0.19657446280031354,0.0,0.0,0.0,2.8109026292278765
692,2015-04-22,2.993106644253219,2.309310487110304,3.341073316573206,2.993106644253219,2.993106644253219,-0.16357228586174336,-0.16357228586174336,-0.16357228586174336,0.01869300630592716,0.01869300630592716,0.01869300630592716,-0.18226529216767048,-0.18226529216767048,-0.18226529216767048,0.0,0.0,0.0,2.8295343583914754
693,2015-04-23,2.985937555078103,2.2656493894896608,3.308622154872844,2.985937555078103,2.985937555078103,-0.1570045875678669,-0.1570045875678669,-0.1570045875678669,0.011154283359996332,0.011154283359996332,0.011154283359996332,-0.16815887092786325,-0.16815887092786325,-0.16815887092786325,0.0,0.0,0.0,2.828932967510236
694,2015-04-24,2.9787684659029865,2.3066776161688547,3.3361016684024225,2.9787684659029865,2.9787684659029865,-0.15227691703226653,-0.15227691703226653,-0.15227691703226653,0.0019939298715868914,0.0019939298715868914,0.0019939298715868914,-0.15427084690385343,-0.15427084690385343,-0.15427084690385343,0.0,0.0,0.0,2.82649154887072
695,2015-04-27,2.9572611983776373,2.2962601078592804,3.382568739833775,2.9572611983776373,2.9572611983776373,-0.1122366567183166,-0.1122366567183166,-0.1122366567183166,0.0018360270012593508,0.0018360270012593508,0.0018360270012593508,-0.11407268371957596,-0.11407268371957596,-0.11407268371957596,0.0,0.0,0.0,2.845024541659321
696,2015-04-28,2.9500921092025214,2.3423753745795897,3.39558208875069,2.9500921092025214,2.9500921092025214,-0.09400891370971806,-0.09400891370971806,-0.09400891370971806,0.007201358599847219,0.007201358599847219,0.007201358599847219,-0.10121027230956528,-0.10121027230956528,-0.10121027230956528,0.0,0.0,0.0,2.856083195492803
697,2015-04-29,2.942923020027405,2.347641961689012,3.3686121782723677,2.942923020027405,2.942923020027405,-0.06994382074521274,-0.06994382074521274,-0.06994382074521274,0.018693006305928447,0.018693006305928447,0.018693006305928447,-0.08863682705114119,-0.08863682705114119,-0.08863682705114119,0.0,0.0,0.0,2.8729791992821925
698,2015-04-30,2.935753930852288,2.3651946434310345,3.3946233690401497,2.935753930852288,2.935753930852288,-0.0652068573391036,-0.0652068573391036,-0.0652068573391036,0.011154283360019727,0.011154283360019727,0.011154283360019727,-0.07636114069912332,-0.07636114069912332,-0.07636114069912332,0.0,0.0,0.0,2.8705470735131846
699,2015-05-01,2.928584841677171,2.3303313019914467,3.3915928627826313,2.928584841677171,2.928584841677171,-0.06239489079536119,-0.06239489079536119,-0.06239489079536119,0.0019939298715654385,0.0019939298715654385,0.0019939298715654385,-0.06438882066692662,-0.06438882066692662,-0.06438882066692662,0.0,0.0,0.0,2.8661899508818096
700,2015-05-04,2.9070775741518218,2.315272667522885,3.3938122492966065,2.9070775741518218,2.9070775741518218,-0.028453204647523208,-0.028453204647523208,-0.028453204647523208,0.001836027001297123,0.001836027001297123,0.001836027001297123,-0.030289231648820334,-0.030289231648820334,-0.030289231648820334,0.0,0.0,0.0,2.8786243695042986
701,2015-05-05,2.8999084849767054,2.3758885035151387,3.4137162569624464,2.8999084849767054,2.8999084849767054,-0.012303776432548966,-0.012303776432548966,-0.012303776432548966,0.007201358599846449,0.007201358599846449,0.007201358599846449,-0.019505135032395416,-0.019505135032395416,-0.019505135032395416,0.0,0.0,0.0,2.8876047085441563
