,Date,NG,outliers,scores,anomaly_score
7715,2018-02-21,2.595999999999999,no,0.35582512781081205,1
7716,2018-02-22,2.6179999999999994,no,0.3520968054491743,1
7717,2018-02-23,2.614,no,0.3522714192603874,1
7718,2018-02-24,2.614,no,0.3522714192603874,1
7719,2018-02-25,2.614,no,0.3522714192603874,1
7720,2018-02-26,2.6159999999999997,no,0.3526836905596465,1
7721,2018-02-27,2.619999999999999,no,0.35271346504325435,1
7722,2018-02-28,2.6379999999999995,no,0.3528201031507167,1
7723,2018-03-01,2.6579999999999995,no,0.35969788538675185,1
7724,2018-03-02,2.6799999999999997,no,0.35973180051915804,1
7725,2018-03-03,2.6799999999999997,no,0.35973180051915804,1
7726,2018-03-04,2.6799999999999997,no,0.35973180051915804,1
7727,2018-03-05,2.7079999999999993,no,0.3632281090692314,1
7728,2018-03-06,2.733999999999999,no,0.36127638022948055,1
7729,2018-03-07,2.7419999999999995,no,0.3612983189150741,1
7730,2018-03-08,2.757999999999999,no,0.35975390354452624,1
7731,2018-03-09,2.769999999999999,no,0.3618305286180398,1
7732,2018-03-10,2.769999999999999,no,0.3618305286180398,1
7733,2018-03-11,2.769999999999999,no,0.3618305286180398,1
7734,2018-03-12,2.7479999999999993,no,0.3613142268162817,1
7735,2018-03-13,2.7279999999999998,no,0.35980027884542287,1
7736,2018-03-14,2.71,no,0.3624994274038978,1
7737,2018-03-15,2.678,no,0.3600758198294142,1
7738,2018-03-16,2.6679999999999997,no,0.3612054702568214,1
7739,2018-03-17,2.6679999999999997,no,0.3612054702568214,1
7740,2018-03-18,2.6679999999999997,no,0.3612054702568214,1
7741,2018-03-19,2.678,no,0.3600758198294142,1
7742,2018-03-20,2.662,no,0.3603843626911534,1
7743,2018-03-21,2.654,no,0.35935323647222833,1
7744,2018-03-22,2.6559999999999997,no,0.35935323647222833,1
7745,2018-03-23,2.6339999999999995,no,0.3529050869150663,1
7746,2018-03-24,2.6339999999999995,no,0.3529050869150663,1
7747,2018-03-25,2.6339999999999995,no,0.3529050869150663,1
7748,2018-03-26,2.614,no,0.3522714192603874,1
7749,2018-03-27,2.6519999999999992,no,0.3567710184079366,1
7750,2018-03-28,2.686,no,0.35969501117795905,1
7751,2018-03-29,2.7099999999999995,no,0.3624994274038978,1
7752,2018-03-30,2.7099999999999995,no,0.3624994274038978,1
7753,2018-03-31,2.7099999999999995,no,0.3624994274038978,1
7754,2018-04-01,2.7099999999999995,no,0.3624994274038978,1
7755,2018-04-02,2.752,no,0.3613142268162817,1
7756,2018-04-03,2.7859999999999996,no,0.3604139403572666,1
7757,2018-04-04,2.7859999999999996,no,0.3604139403572666,1
7758,2018-04-05,2.7919999999999994,no,0.3648589132287014,1
7759,2018-04-06,2.797999999999999,no,0.36524823869283635,1
7760,2018-04-07,2.797999999999999,no,0.36524823869283635,1
7761,2018-04-08,2.797999999999999,no,0.36524823869283635,1
7762,2018-04-09,2.784,no,0.3617279053504464,1
7763,2018-04-10,2.7739999999999996,no,0.3608384830794714,1
7764,2018-04-11,2.7759999999999994,no,0.3604610483026172,1
7765,2018-04-12,2.7959999999999994,no,0.3651987458844834,1
7766,2018-04-13,2.8079999999999994,no,0.36627217283009167,1
7767,2018-04-14,2.8079999999999994,no,0.36627217283009167,1
7768,2018-04-15,2.8079999999999994,no,0.36627217283009167,1
7769,2018-04-16,2.829999999999999,no,0.36093653309020296,1
7770,2018-04-17,2.8379999999999996,no,0.3641952809699099,1
7771,2018-04-18,2.829999999999999,no,0.36093653309020296,1
